brand_name,serving_size,calories,fat,sat_fat,cholesterol,sodium,carbs,sugars,protein,greek_or_not
Chobani,150,110,0,0,5,60,15,13,12,greek
Dannon,150,140,4.5,3,15,70,20,15,5,not
Yoplait,150,150,2,1,10,105,26,19,6,not
Yoplait_Greek,150,100,0,0,2.5,60,10,7,15,greek
Dannon_Oikos,150,110,0,0,10,45,16,15,12,greek
La_Yogurt,170,160,5,3,20,80,23,19,6,not
Fage,227,190,0,0,0,70,27,25,20,greek
Lala,170,150,1.5,1,10,95,29,24,6,not
Stonyfield,227,200,8,5,25,110,26,22,7,not
Voskos,150,130,0,0,0,45,21,16,11,greek
